"ind","PH","FT","Sub-population"
"BCC1565",65.5999999456577,67.1342450212737,"BCC"
"BCC1566",84.9999999456577,69.3342401236344,"BCC"
"BCC1589",73.7999999456577,69.8926926047109,"BCC"
"BCC161",63.9999999456577,63.3317635147373,"BCC"
"BCC167",55.7999999456577,57.7012186570599,"BCC"
"BCC182",56.1999999456577,68.1541353784625,"BCC"
"BCC192",54.2815921719367,74.1889336373165,"BCC"
"BCC195",48.5315921719368,79.8291670479632,"BCC"
"BCC197",41.9999999456577,78.2629563852641,"BCC"
"BCC218",60.8941804854669,66.4845436737292,"BCC"
"BCC219",63.1441804854669,70.8845436737292,"BCC"
"BCC3",65.1441804854669,64.0340072000234,"BCC"
"BCC421",65.1999999456577,60.7607325164689,"BCC"
"BCC423",78.1441804854669,76.9416127299847,"BCC"
"BCC427",60.9999999456577,66.6013132943661,"BCC"
"BCC432",69.7999999456577,71.8994817925346,"BCC"
"BCC434",65.1999999456578,64.4938775911371,"BCC"
"BCC436",80.1999999456577,72.8505886566849,"BCC"
"BCC438",72.9999999456577,57.3944700861996,"BCC"
"BCC439",67.5999999456577,63.3761905163071,"BCC"
"BCC445",68.96899370899,67.7592911400585,"BCC"
"BCC446",82.1999999456577,66.6675734569677,"BCC"
"BCC447",73.9999999456577,67.9217214576314,"BCC"
"BCC524",38.2815921719368,78.390672232695,"BCC"
"BCC526",62.5999999456577,72.7822656753185,"BCC"
"BCC527",51.3999999456577,68.3125589098184,"BCC"
"BCC532",46.0315921719368,64.7294529155174,"BCC"
"BCC535",44.0007812651396,66.8850798712947,"BCC"
"BCC538",56.9689937089901,61.4744167464312,"BCC"
"BCC551",58.7999999456577,74.3298847229376,"BCC"
"BCC577",60.7999999456577,67.1889336373164,"BCC"
"BCC579",69.0401411158718,62.6844455191675,"BCC"
"BCC581",64.7999999456577,66.5679799610327,"BCC"
"BCC625",50.5999999456577,56.9506008411847,"BCC"
"BCC642",61.3999999456577,62.3268102162419,"BCC"
"BCC666",50.9999999456577,57.0679799610328,"BCC"
"BCC675",77.9999999456577,67.9115173759987,"BCC"
"BCC695",60.1999999456577,66.0785866986607,"BCC"
"BCC718",77.3999999456577,72.1141398363412,"BCC"
"BCC719",65.7999999456577,65.7312452671552,"BCC"
"BCC745",55.5999999456577,71.5222669706498,"BCC"
"BCC759",68.1999999456577,72.0360956171375,"BCC"
"BCC761",62.1999999456577,70.2249006491804,"BCC"
"BCC766",61.9689937089901,69.8154566760925,"BCC"
"BCC776",59.71899370899,75.7272414578378,"BCC"
"BCC801",71.9999999456577,72.9232282781892,"BCC"
"BCC806",62.3999999456578,66.133769434717,"BCC"
"BCC812",50.9999999456577,60.4955734807605,"BCC"
"BCC814",62.1999999456577,63.1591837135861,"BCC"
"BCC817",58.9999999456577,60.4096880532529,"BCC"
"BCC818",64.3999999456577,69.2479300692712,"BCC"
"BCC844",61.7815921719368,76.890672232695,"BCC"
"BCC847",62.3999999456577,70.8564414994943,"BCC"
"BCC852",71.4689937089901,65.2527498134332,"BCC"
"BCC860",59.5999999456577,55.2857143258309,"BCC"
"BCC861",66.4689937089901,65.409923992808,"BCC"
"BCC868",56.3999999456577,73.463328798242,"BCC"
"BCC869",65.3941804854669,63.7725250704193,"BCC"
"BCC875",67.9999999456577,68.3489744598458,"BCC"
"BCC881",69.3999999456577,69.0679799610328,"BCC"
"BCC888",71.9999999456577,69.7568688499216,"BCC"
"BCC892",80.2457622256887,63.9020299673735,"BCC"
"BCC899",59.3999999456577,72.3436209866738,"BCC"
"BCC900",64.4817300785649,77.7515993313271,"BCC"
"BCC903",70.1999999456577,73.1769543200071,"BCC"
"BCC913",68.3999999456577,65.8617910198538,"BCC"
